"List Name","Files with Hits"
"1.2.99.4 (31)",31
"1.20.0.0 (11)",11
"1.20.58.2 (1)",1
"1.21.0.0 (5)",5
"1.21.3.36 (9)",9
"1.22.41.229 (1)",1
"1.24.0.4 (3)",3
"1.24.11.0 (10)",10
"1.3.0.0 (5)",5
"1.3.0.1 (12)",12
"1.3.1.1 (17)",17
"1.3.1.2 (1)",1
"1.3.1.3 (1)",1
"1.3.1.4 (1)",1
"1.3.1.6 (14)",14
"1.3.10.2 (11)",11
"1.3.101.110 (6)",6
"1.3.101.111 (6)",6
"1.3.101.112 (6)",6
"1.3.101.113 (6)",6
"1.3.111.2 (6)",6
"1.3.132.0 (6)",6
"1.3.14.3 (25)",25
"1.3.2.0 (11)",11
"1.3.2.1 (12)",12
"1.3.3.0 (11)",11
"1.3.3.1 (11)",11
"1.3.36.3 (15)",15
"1.3.36.8 (4)",4
"1.3.4.0 (7)",7
"1.3.4.1 (3)",3
"1.3.5.8 (2)",2
"1.3.6.1 (48)",48
"1.3.6.24 (11)",11
"1.3.6.7 (22)",22
"1.3.7.8 (22)",22
"1.3.8.1 (11)",11
"1.3.8.2 (11)",11
"1.3.9.1 (15)",15
"1.3.9.11 (5)",5
"1.31.3.36 (2)",2
"1.34.6.3 (2)",2
"1.4.0.1 (3)",3
"1.4.0.10 (15)",15
"1.4.0.18 (22)",22
"1.4.0.5 (3)",3
"1.4.0.7 (4)",4
"1.4.0.9 (16)",16
"1.4.1.0 (17)",17
"1.4.1.1 (12)",12
"1.4.1.17 (4)",4
"1.4.1.19 (4)",4
"1.4.1.2 (11)",11
"1.4.11.1 (27)",27
"1.4.13.2 (11)",11
"1.4.16.3 (27)",27
"1.4.17.0 (2)",2
"1.4.2.0 (11)",11
"1.4.2.1 (15)",15
"1.4.2.3 (14)",14
"1.4.3.0 (5)",5
"1.4.3.6 (26)",26
"1.4.4.0 (11)",11
"1.4.5.0 (15)",15
"1.4.5.6 (11)",11
"1.4.57.0 (11)",11
"1.4.6.1 (2)",2
"1.4.99.1 (36)",36
"1.42.2.27 (3)",3
"1.5.0.0 (16)",16
"1.5.0.1 (18)",18
"1.5.0.2 (14)",14
"1.5.0.3 (3)",3
"1.5.0.4 (3)",3
"1.5.0.5 (15)",15
"1.5.0.6 (3)",3
"1.5.0.7 (3)",3
"1.5.1.0 (11)",11
"1.5.1.1 (18)",18
"1.5.1.2 (3)",3
"1.5.1.3 (3)",3
"1.5.1.4 (3)",3
"1.5.1.5 (3)",3
"1.5.1.6 (3)",3
"1.5.11.3 (5)",5
"1.5.2.0 (5)",5
"1.5.2.1 (5)",5
"1.5.2.2 (3)",3
"1.5.2.3 (3)",3
"1.5.2.4 (3)",3
"1.5.2.5 (3)",3
"1.5.27.0 (3)",3
"1.5.3.1 (3)",3
"1.5.3.2 (3)",3
"1.5.3.3 (6)",6
"1.5.3.4 (3)",3
"1.5.3.5 (3)",3
"1.5.3.6 (3)",3
"1.5.3.7 (25)",25
"1.5.3.8 (7)",7
"1.5.4.1 (10)",10
"1.5.4.2 (3)",3
"1.5.4.3 (7)",7
"1.5.4.4 (3)",3
"1.5.4.5 (3)",3
"1.5.4.6 (3)",3
"1.5.4.7 (7)",7
"1.5.5.0 (12)",12
"1.5.5.1 (14)",14
"1.5.5.2 (3)",3
"1.5.5.3 (3)",3
"1.5.5.37 (15)",15
"1.5.5.4 (3)",3
"1.5.5.5 (7)",7
"1.5.5.6 (3)",3
"1.5.6.1 (3)",3
"1.5.6.2 (16)",16
"1.5.6.3 (3)",3
"1.5.6.4 (3)",3
"1.5.6.5 (7)",7
"1.5.6.6 (3)",3
"1.5.6.7 (2)",2
"1.5.7.0 (3)",3
"1.5.8.0 (11)",11
"1.5.99.2 (15)",15
"1.58.2.2 (1)",1
"1.6.0.0 (17)",17
"1.6.0.1 (18)",18
"1.6.0.2 (15)",15
"1.6.0.3 (18)",18
"1.6.0.4 (3)",3
"1.6.0.5 (7)",7
"1.6.0.6 (3)",3
"1.6.0.8 (3)",3
"1.6.1.0 (16)",16
"1.6.1.1 (6)",6
"1.6.1.18 (3)",3
"1.6.1.2 (7)",7
"1.6.1.3 (20)",20
"1.6.1.4 (6)",6
"1.6.1.5 (1)",1
"1.6.1.6 (1)",1
"1.6.1.7 (1)",1
"1.6.1.8 (1)",1
"1.6.11.6 (4)",4
"1.6.14.1 (15)",15
"1.6.170.0 (1)",1
"1.6.2.0 (5)",5
"1.6.2.1 (8)",8
"1.6.2.2 (8)",8
"1.6.2.3 (7)",7
"1.6.2.4 (7)",7
"1.6.2.5 (3)",3
"1.6.3.1 (3)",3
"1.6.3.2 (3)",3
"1.6.3.3 (14)",14
"1.6.3.4 (3)",3
"1.6.4.1 (3)",3
"1.6.4.2 (3)",3
"1.6.4.3 (6)",6
"1.6.4.4 (14)",14
"1.6.4.5 (3)",3
"1.6.5.0 (11)",11
"1.6.5.1 (3)",3
"1.6.5.2 (7)",7
"1.6.5.3 (3)",3
"1.6.5.4 (3)",3
"1.6.5.5 (3)",3
"1.6.5.6 (3)",3
"1.6.5.7 (3)",3
"1.6.5.8 (3)",3
"1.6.5.9 (3)",3
"1.6.5.90 (15)",15
"1.6.6.1 (15)",15
"1.6.6.2 (3)",3
"1.6.6.3 (3)",3
"1.6.6.6 (4)",4
"1.6.99.1 (14)",14
"1.64.1.0 (11)",11
"1.7.0.1 (18)",18
"1.7.0.2 (3)",3
"1.7.0.3 (3)",3
"1.7.0.4 (42)",42
"1.7.0.5 (3)",3
"1.7.0.6 (3)",3
"1.7.0.7 (3)",3
"1.7.0.8 (3)",3
"1.7.0.9 (3)",3
"1.7.1.1 (15)",15
"1.7.1.2 (30)",30
"1.7.1.3 (4)",4
"1.7.1.4 (4)",4
"1.7.1.5 (1)",1
"1.7.1.6 (1)",1
"1.7.10.1 (3)",3
"1.7.10.2 (3)",3
"1.7.10.3 (3)",3
"1.7.10.4 (3)",3
"1.7.10.5 (3)",3
"1.7.11.1 (3)",3
"1.7.11.2 (3)",3
"1.7.11.3 (3)",3
"1.7.11.4 (3)",3
"1.7.11.5 (3)",3
"1.7.11.6 (3)",3
"1.7.11.7 (3)",3
"1.7.12.1 (7)",7
"1.7.12.2 (7)",7
"1.7.12.3 (7)",7
"1.7.12.4 (7)",7
"1.7.2.1 (3)",3
"1.7.2.2 (3)",3
"1.7.2.3 (3)",3
"1.7.2.4 (3)",3
"1.7.2.5 (3)",3
"1.7.20.1 (14)",14
"1.7.21.2 (1)",1
"1.7.3.1 (22)",22
"1.7.3.2 (3)",3
"1.7.3.3 (24)",24
"1.7.3.4 (3)",3
"1.7.3.5 (7)",7
"1.7.31.2 (1)",1
"1.7.4.1 (31)",31
"1.7.4.2 (3)",3
"1.7.4.3 (3)",3
"1.7.4.4 (7)",7
"1.7.4.5 (3)",3
"1.7.5.1 (22)",22
"1.7.5.2 (14)",14
"1.7.5.3 (3)",3
"1.7.5.4 (3)",3
"1.7.5.46 (11)",11
"1.7.51.2 (1)",1
"1.7.6.1 (3)",3
"1.7.6.2 (3)",3
"1.7.6.3 (3)",3
"1.7.6.4 (3)",3
"1.7.6.5 (3)",3
"1.7.6.6 (3)",3
"1.7.61.2 (1)",1
"1.7.7.1 (29)",29
"1.7.7.2 (3)",3
"1.7.7.3 (3)",3
"1.7.7.4 (3)",3
"1.7.7.5 (3)",3
"1.7.7.6 (3)",3
"1.7.7.7 (3)",3
"1.7.8.1 (3)",3
"1.7.8.2 (3)",3
"1.7.8.3 (3)",3
"1.7.8.4 (3)",3
"1.7.8.5 (3)",3
"1.7.8.6 (3)",3
"1.7.9.1 (14)",14
"1.7.9.2 (3)",3
"1.7.9.3 (3)",3
"1.7.9.4 (3)",3
"1.7.9.5 (3)",3
"1.7.9.6 (3)",3
"1.7.9.7 (3)",3
"1.8.0.0 (13)",13
"1.8.0.1 (14)",14
"1.8.0.11 (10)",10
"1.8.0.2 (14)",14
"1.8.0.3 (3)",3
"1.8.0.60 (3)",3
